Epoch,Finetuning loss,Finetuning accuracy,Finetuning F1 score,Finetuning precision
0,0.6114435374736786,0.7039999961853027,0.7086613774299622,0.8653846383094788
1,0.5502068519592285,0.7200000286102295,0.7244094610214233,0.8846153616905212
2,0.5004389703273773,0.7360000014305115,0.7555555701255798,0.8500000238418579
3,0.5908581256866455,0.7120000123977661,0.7230769395828247,0.8545454740524292
4,0.4222195386886597,0.7919999957084656,0.803030252456665,0.9298245906829834
5,0.4374540388584137,0.7919999957084656,0.8142856955528259,0.8769230842590332
6,0.40601266622543336,0.8320000171661377,0.8467152714729309,0.9354838728904724
7,0.4215967237949371,0.8560000061988831,0.8732394576072693,0.9253731369972229
8,0.41219942569732665,0.8240000009536743,0.8428571224212646,0.9076923131942749
9,0.3645517885684967,0.8399999737739563,0.8611111640930176,0.8985507488250732
10,0.35116142630577085,0.8399999737739563,0.8611111640930176,0.8985507488250732
11,0.4332948088645935,0.8080000281333923,0.8333333730697632,0.8695651888847351
12,0.343640410900116,0.8960000276565552,0.9090908765792847,0.9558823704719543
13,0.3878982841968536,0.8159999847412109,0.8413792848587036,0.8714285492897034
14,0.36723802983760834,0.8159999847412109,0.8391607999801636,0.8823529481887817
15,0.3352775812149048,0.8799999952316284,0.8979592323303223,0.9166666865348816
16,0.3154008984565735,0.8640000224113464,0.8843536972999573,0.9027777910232544
17,0.38045347929000856,0.8399999737739563,0.8666666746139526,0.8666666746139526
18,0.3715949207544327,0.8479999899864197,0.8707482814788818,0.8888888955116272
19,0.40152623057365416,0.8080000281333923,0.837837815284729,0.8493150472640991
